NEIGHBOURHOOD,RATING
Arbutus Ridge,8.36
Downtown,8.65
Dunbar - Southlands,8.57
Fairview,8.829999999999998
Grandview - Woodland,9.069999999999999
Hastings - Sunrise,8.970000000000002
Kensington - Cedar Cottage,9.16
Kerrisdale,8.429999999999998
Killarney,8.39
Kitsilano,8.889999999999999
Marpole,8.419999999999998
Mount Pleasant,8.870000000000003
Musqueam,8.370000000000001
Oakridge,7.840000000000001
Renfrew - Collingwood,8.669999999999998
Riley Park,8.9
Shaughnessy,9
South Cambie,8.809999999999999
Stanley Park,8.78
Strathcona,9.03
Sunset,9.079999999999998
Victoria - Fraserview,8.819999999999999
West End,8.91
West Point Grey,8.650000000000002
